dive#;date;time;"site_id";location;place;depth;divetime;tank#;tank_id;tank_name;tank_volume;tank_gas;tank_in;tank_out;tank_type;"buddy";"visibility";watertemp;airtemp;current;workload;suitname;suittype;suitweight;weight; ;"userdef1"; ;"userdef2";rating;"notes"
 1; 28 March 2004; 12:32;" 1"; Elat; Malibu Beach; 8.0 m / 26 ft; 30 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 195 bar / 2730 psi; 100 bar / 1400 psi; steel;" Nick";" 10.0 m / 33 ft"; 22 °C / 72 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 14 kg / 31 lbs; ;" "; ;" "; 3;" Open Water Training Dive #1"
 2; 28 March 2004; 13:35;" 1"; Elat; Malibu Beach; 8.0 m / 26 ft; 30 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 195 bar / 2730 psi; 105 bar / 1470 psi; steel;" Nick";" 10.0 m / 33 ft"; 22 °C / 72 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 13 kg / 29 lbs; ;" "; ;" "; 3;" OW Training Dive #2"
 3; 29 March 2004; 11:10;" 1"; Elat; Malibu Beach; 12.0 m / 40 ft; 35 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 220 bar / 3080 psi; 85 bar / 1190 psi; steel;" Nick";" 10.0 m / 33 ft"; 22 °C / 72 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 13 kg / 29 lbs; ;" "; ;" "; 3;" OW Training Dive #3"
 4; 29 March 2004; 12:22;" 1"; Elat; Malibu Beach; 10.0 m / 33 ft; 35 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 220 bar / 3080 psi; 90 bar / 1260 psi; steel;" Nick";" 10.0 m / 33 ft"; 22 °C / 72 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 13 kg / 29 lbs; ;" "; ;" "; 3;" OW Training Dive #4"
 5; 30 March 2004; 11:04;" 2"; Elat; University; 18.0 m / 59 ft; 30 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 200 bar / 2800 psi; 50 bar / 700 psi; steel;" Nick";" 10.0 m / 33 ft"; 22 °C / 72 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 13 kg / 29 lbs; ;" "; ;" "; 3;" "
 6; 30 March 2004; 12:41;" 2"; Elat; University; 14.0 m / 46 ft; 35 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 180 bar / 2520 psi; 60 bar / 840 psi; steel;" Nick";" 10.0 m / 33 ft"; 22 °C / 72 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 13 kg / 29 lbs; ;" "; ;" "; 4;" ''Soft Corals'' (artificial setup to (re-) create corals - supports coral building)"
 7; 1 April 2004; 13:05;" 3"; Elat; Princess Beach; 24.0 m / 79 ft; 28 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 190 bar / 2660 psi; 60 bar / 840 psi; steel;" Nick";" 10.0 m / 33 ft"; 23 °C / 73 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 13 kg / 29 lbs; ;" "; ;" "; 3;" MultiLevel Dive"
 8; 1 April 2004; 14:25;" 4"; Elat; The Caves; 10.0 m / 33 ft; 45 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 195 bar / 2730 psi; 95 bar / 1330 psi; steel;" Nick";" 10.0 m / 33 ft"; 23 °C / 73 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 13 kg / 29 lbs; ;" "; ;" "; 5;" Under Water Naturalist (Special). Very beautiful location: All kind of fishes, a cave (''tube'') to dive through with a huge fish swarm inside, many corals and more"
 9; 30 May 2004; 21:22;" 5"; Elat; Yatooch, Malibu Beach; 30.0 m / 99 ft; 15 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 195 bar / 2730 psi; 65 bar / 910 psi; steel;" Nick";" 10.0 m / 33 ft"; 22 °C / 72 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 12 kg / 26 lbs; ;" "; ;" "; 4;" Deep Dive
Wreck at about 30m depth, dived through - nice experience!"
 10; 2 April 2004; 12:16;" 6"; Elat; HaSatil, Village Beach; 22.0 m / 73 ft; 25 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 195 bar / 2730 psi; 50 bar / 700 psi; steel;" Nick";" 10.0 m / 33 ft"; 22 °C / 72 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 12 kg / 26 lbs; ;" "; ;" "; 5;" Wreck Dive"
 11; 2 April 2004; 13:49;" 1"; Elat; Malibu Beach; 10.0 m / 33 ft; 40 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 195 bar / 2730 psi; 75 bar / 1050 psi; steel;" Nick";" 5.0 m / 17 ft"; 22 °C / 72 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 12 kg / 26 lbs; ;" "; ;" "; 3;" Under Water Navigation
Bad visibility (good situation for navigation test ;), looked like an upcoming storm"
 12; 21 May 2004; 11:40;" 7"; Herzeliya; Okeanos; 14.0 m / 46 ft; 28 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 200 bar / 2800 psi; 60 bar / 840 psi; steel;" ";" 2.0 m / 7 ft"; 21 °C / 70 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 10 kg / 22 lbs; ;" "; ;" "; 2;" Boat Dive
Due to very bad visibility, not that exciting. Guided dive: 4 people + Instructor + DiveMaster on the boat.
Going with the Reef Diving Club of Herzeliya"
 13; 24 May 2004; 11:50;" 8"; Nahariya; Marina; 4.0 m / 13 ft; 30 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 220 bar / 3080 psi; 130 bar / 1820 psi; steel;" Ian";" 7.0 m / 23 ft"; 21 °C / 70 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 12 kg / 26 lbs; ;" "; ;" "; 3;" Joining an OW Training dive: Boat dive. Due to my AOWD status the instructor called me her ''assistant''.
Locality: Some rock formations, nothing very special.
Going with Putsker Diving Club, Naharia"
 14; 24 May 2004; 14:50;" 9"; Nahariya; Love Island; 14.0 m / 46 ft; 32 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 210 bar / 2940 psi; 90 bar / 1260 psi; steel;" Ian";" 10.0 m / 33 ft"; 21 °C / 70 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 12 kg / 26 lbs; ;" "; ;" "; 4;" Joining an OW Training dive: Boat dive. Different kind of fishes, many sea-urchins hiding in little holes. Nice place!
Going with Putsker Diving Club, Naharia"
 15; 24 May 2004; 15:30;" 9"; Nahariya; Love Island; 4.5 m / 15 ft; 35 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 200 bar / 2800 psi; 95 bar / 1330 psi; steel;" Ian";" 10.0 m / 33 ft"; 21 °C / 70 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 12 kg / 26 lbs; ;" "; ;" "; 3;" Joining an OW Training dive: Boat dive. Many shells around the place.
Going with Putsker Diving Club, Naharia"
 16; 26 May 2004; 10:21;" 10"; Nahariya; HaSatil; 27.0 m / 89 ft; 25 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 195 bar / 2730 psi; 30 bar / 420 psi; steel;" Shay";" 10.0 m / 33 ft"; 21 °C / 70 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 14 kg / 31 lbs; ;" "; ;" "; 5;" Wreck Dive - very nice! Weight was definitely too much this time.
Going with Putsker Diving Club, Naharia"
 17; 26 May 2004; 13:30;" 11"; Rosh HaNikra; Nikraoth; 6.5 m / 21 ft; 56 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 195 bar / 2730 psi; 50 bar / 700 psi; steel;" Ray";" 10.0 m / 33 ft"; 20 °C / 68 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 14 kg / 31 lbs; ;" "; ;" "; 5;" Cave Dive (guided). System of multiple connected caves, in most ascent is possible. Some ascents in grottos (to the surprise of the visitors from the landside). Some fishes, an Octopus hiding between stones on the round. Very nice dive!
Going with Putsker Diving Club, Naharia"
 18; 27 June 2004; 10:07;" 12"; Almershausen; Steilkante; 15.3 m / 50 ft; 26 min; 1; 2; Small; 10 liter / 71 cuft @ 3000 psi; air; 200 bar / 2800 psi; 80 bar / 1120 psi; steel;" Andi";" 6.0 m / 20 ft"; 11 °C / 52 °F; 30 °C / 86 °F; - - -; - - -; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 10 kg / 22 lbs; ;" "; ;" "; 3;" Quite dead area. Just discovering my first fresh water dive with DM Andi (Tauchsport Braun, Munich) in the Starnberger See"
 19; 27 June 2004; 13:12;" 12"; Almershausen; Steilkante; 15.9 m / 52 ft; 26 min; 1; 1; Standard; 12 liter / 86 cuft @ 3000 psi; air; 200 bar / 2800 psi; 100 bar / 1400 psi; steel;" Andi";" 5.0 m / 17 ft"; 10 °C / 50 °F; 30 °C / 86 °F; none; light; 5mm 2 piece + booties; wet suit; 0 kg / 0 lbs; 10 kg / 22 lbs; ;" "; ;" "; 3;" Quite dead... Joining an AOWD training dive with Tauchsport Braun, Munich in the Starnberger See"


